recipes2_id,ingredients2_id,amount,unit
1,1,2,cloves
1,2,1,Tbsp
1,3,1/2,lb.
1,4,3,cups
1,5,1,"10oz. can"
1,6,1,"15oz. can"
1,7,1,Tbsp
1,8,1,tsp
1,9,1,tsp
1,10,1/2,tsp
1,11,1/4,tsp
1,12,1/8,tsp
1,13,2,oz.
1,14,1,
1,15,1,
1,16,1/4,cup
1,17,1,handful
2,18,1,
2,19,1,Tbsp
2,20,1/2,lb.
2,21,2,Tbsp
2,22,1,"8oz. can"
2,23,2,cups
2,24,"1/2 ",lb.
2,13,4,oz.
2,25,2,Tbsp
2,26,2,
3,27,1,
3,28,4,Tbsp
3,1,2,cloves
3,29,1,tsp
3,30,1,cup
3,11,1/2,tsp
3,31,4,
3,32,1,Tbsp
3,33,1/4,tsp
3,34,4,oz.
4,2,"1/2 ",cup
4,35,1/3,cup
4,36,1,Tbsp
4,10,1,tsp
4,37,1,clove
4,11,3/4,tsp
4,38,1/4,tsp
4,39,12,oz.
4,40,2,
4,41,1,
4,42,1,
4,43,1,
4,44,1/2,
4,45,1,"12oz. jar"
4,46,1/2,cup
5,1,2,cloves
5,32,2,Tbsp
5,3,1/2,lb.
5,47,8,oz.
5,48,1/8,tsp
5,23,2,cups
5,49,1,Tbsp
5,36,1/2,tsp
5,50,8,oz.
5,51,1/3,cup
5,52,1,Tbsp
6,53,1,
6,42,1,
6,41,1,
6,44,1/2,
6,54,1.3,lbs.
6,55,2,Tbsp
6,56,1,cup
6,57,1/3,cup
6,58,1/8,tsp
6,59,1/8,tsp
6,60,1,Tbsp
7,61,1,large
7,32,1,Tbsp
7,62,4,oz.
7,63,1/2,cup
7,33,1/4,tsp
7,64,1/4,tsp
7,65,1/2,tsp
7,10,1/2,tsp
7,11,1/4,tsp
7,38,1/8,tsp
7,66,12,oz.
7,13,6,oz.
8,67,1,cup
8,32,1/2,cup
8,68,1,cup
8,69,1,cup
8,70,1.5,cups
8,71,25,
9,72,1.3,lbs.
9,73,"¼",tsp
9,74,2,Tbsp
9,75,2,
9,76,1/4,cup
9,77,1,cup
9,78,1,cup
9,79,1/2,cup
9,80,1,cup
10,2,1/2,Tbsp
10,81,1,"8"""
10,82,1/2,cup
10,53,1/4,
10,83,2,Tbsp
10,84,4,
10,11,1/8,tsp
10,12,1/8,tsp
10,85,2,Tbsp
10,86,1,
11,87,1/2,cup
11,4,1/2,cup
11,32,1/2,Tbsp
11,88,1/4,tsp
11,11,1/8,tsp
11,89,1/2,cup
11,90,1/4,cup
